Putative_Ammonia	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Rotaliidae	g__Ammonia	s__
Putative_Elphidium	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Elphidiidae	g__Elphidium	s__
Putative_Haynesina	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Nonionidae	g__Haynesina	s__
Putative_Quinqueloculina	k__Eukaryota	p__Foraminifera	c__Tubothalamea	o__Miliolida	f__Miliolidae	g__Quinqueloculina	s__
Alveolinella_quoyi	k__Eukaryota	p__Foraminifera	c__Tubothalamea	o__Miliolida	f__Alveolinidae	g__Alviolinella	s__quoyi
Amphisorus__Amphisorus_SpL__Amphisorus_SpS	k__Eukaryota	p__Foraminifera	c__Tubothalamea	o__Miliolida	f__Soritidae	g__Amphisorus	s__
Amphistegina_lessonii	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Amphisteginidae	g__Amphistegina	s__lobifera
Amphistegina_lessonii_NBCLAB5174	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Amphisteginidae	g__Amphistegina	s__lobifera
Amphistegina_lobifera	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Amphisteginidae	g__Amphistegina	s__lobifera
Amphistegina_papillosa_Ambon	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Amphisteginidae	g__Amphistegina	s__lobifera
Amphistegina_papillosa_Spermonde_NBCLAB3741	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Amphisteginidae	g__Amphistegina	s__lobifera
Amphistegina_radiata	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Amphisteginidae	g__Amphistegina	s__lobifera
Aschemonella_monile_18080	k__Eukaryota	p__Foraminifera	c__Monothalamea	o__Xenophyophoroidea	f__Stannomidae	g__Aschemonella	s__monile
Bizarria_bryiformis_18256	k__Eukaryota	p__Foraminifera	c__Monothalamea	o__Xenophyophoroidea	f__	g__Bizarria	s__bryiformis
Bolivina_sp._17601__Bolivina_sp._17907	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Bolivinitidae	g__Bolivina	s__
Borelis_schlumbergeri_NBCLAB3737	k__Eukaryota	p__Foraminifera	c__Tubothalamea	o__Miliolida	f__Alveolinidae	g__Borelis	s__schlimbergeria
Buccella_frigida_6300	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Trichohyalidae	g__Buccella	s__frigida
Buccella_peruviana_17572	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Trichohyalidae	g__Buccella	s__frigida
Calcarina_gaudichaudii	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Calcarinidae	g__Calcarina	s__
Calcarina_hispida_Ambon__Calcarina_spengleri__Calcarina_sp._NBCLAB5247	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Calcarinidae	g__Calcarina	s__
Calcarina_hispida__Calcarina_sp_NBCLAB5163	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Calcarinidae	g__Calcarina	s__
Calcarina_sp._NBCLAB5164	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Calcarinidae	g__Calcarina	s__
Calcarina_sp._NBCLAB5165	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Calcarinidae	g__Calcarina	s__
Calcarina_sp._Spermonde	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Calcarinidae	g__Calcarina	s__
Calcarina_sp._Sumba_18664	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Calcarinidae	g__Calcarina	s__
Cassidulinoides_parkerianus_20889	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Cassidulinidae	g__Cassidulinoides	s__parkerianus
Cibicidoides_lobatulus_17944	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Anomalinidae	g__Cibicidoides	s__wuellerstorfi
Cibicidoides_wuellerstorfi_19688	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Anomalinidae	g__Cibicidoides	s__wuellerstorfi
Cribrorotalia_sp._17611	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Notorotaliidae	g__Criborotalia	s__
Cribrostomoides_17496	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Textulariida	f__Trochamminidae	g__Cribostomoides	s__
Cyrea_szymborska_17247	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Textulariida	f__Textulariidae	g__Cyrea	s__szymborska
Discanomalina_coronata_18034	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Gavelinellidae	g__Discanomalina	s__coronata
Eggerelloides_scaber_12301	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Textulariida	f__Eggerellidae	g__Eggerelloides	s__scaber
Elphidium_williamsoni_13170	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Elphidiidae	g__Elphidium	s__
Entzia_macrescens_13533	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Textulariida	f__Trochamminidae	g__Entzia	s__macrescens
Epistominella_exigua_18607	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Pseudoparrellidae	g__Epistominella	s__exigua
Glabratella_sp._17918	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Glabratellidae	g__Glabratella	s__
Glabratellina_sp._17921__Planoglabratella_opercularis_18053__Planoglabratella_sp.	k__Eukaryota	p__Foraminifera	c__Globothalamea	o__Rotaliida	f__Glabratellidae	g__Glabratella	s__
